lId;dtTime;lBoardNumber;ucConveyor;ucProcessingArea;sEvent;dtCreated;ucProcessingMode;lIdSequence;lBoardCompositeId;ucSubConveyor
22222222;2018-02-14 13:48:39.390;0;1;1;22;2018-02-14 13:48:39.413;0;619237;181686;0
22222222;2018-02-14 13:48:39.387;0;1;1;24;2018-02-14 13:48:39.403;0;619235;181685;0
22222222;2018-02-14 13:48:38.233;0;2;1;22;2018-02-14 13:48:38.247;0;619234;181684;0
22222222;2018-02-14 13:48:38.177;0;1;1;22;2018-02-14 13:48:38.197;0;619232;181683;0
22222222;2018-02-14 13:48:28.803;0;1;1;21;2018-02-14 13:48:28.823;0;619219;181680;0
22222222;2018-02-14 13:48:28.800;0;1;1;24;2018-02-14 13:48:28.817;0;619215;181679;0
22222222;2018-02-14 13:48:28.790;1963;1;1;41;2018-02-14 13:48:28.810;1;619213;181674;0
22222222;2018-02-14 13:48:01.733;1963;1;1;40;2018-02-14 13:48:01.753;1;619172;181674;0
22222222;2018-02-14 13:48:01.730;0;1;1;25;2018-02-14 13:48:01.750;0;619171;181673;0
22222222;2018-02-14 13:48:00.417;0;1;1;24;2018-02-14 13:48:00.427;0;619167;181671;0
22222222;2018-02-14 13:48:00.417;0;1;1;22;2018-02-14 13:48:00.430;0;619169;181672;0
22222222;2018-02-14 13:47:59.233;0;1;1;22;2018-02-14 13:47:59.243;0;619164;181670;0
22222222;2018-02-14 13:47:56.813;0;1;1;21;2018-02-14 13:47:56.857;0;619154;181669;0
22222222;2018-02-14 13:47:56.810;0;1;1;24;2018-02-14 13:47:56.837;0;619149;181668;0
22222222;2018-02-14 13:47:56.787;1961;1;1;41;2018-02-14 13:47:56.827;1;619147;181665;0
22222222;2018-02-14 13:47:28.880;1961;1;1;40;2018-02-14 13:47:28.897;1;619100;181665;0
22222222;2018-02-14 13:47:28.877;0;1;1;25;2018-02-14 13:47:28.897;0;619099;181664;0
22222222;2018-02-14 13:47:27.570;0;1;1;22;2018-02-14 13:47:27.597;0;619097;181663;0
22222222;2018-02-14 13:47:27.567;0;1;1;24;2018-02-14 13:47:27.587;0;619095;181662;0
22222222;2018-02-14 13:47:26.370;0;1;1;22;2018-02-14 13:47:26.380;0;619093;181661;0
22222222;2018-02-14 13:47:23.923;0;1;1;21;2018-02-14 13:47:23.957;0;619085;181660;0
22222222;2018-02-14 13:47:23.917;0;1;1;24;2018-02-14 13:47:23.947;0;619081;181659;0
22222222;2018-02-14 13:47:23.890;1959;1;1;41;2018-02-14 13:47:23.933;1;619079;181658;0
22222222;2018-02-14 13:46:56.107;1959;1;1;40;2018-02-14 13:46:56.127;1;619034;181658;0
22222222;2018-02-14 13:46:56.103;0;1;1;25;2018-02-14 13:46:56.127;0;619033;181657;0
22222222;2018-02-14 13:46:54.773;0;1;1;22;2018-02-14 13:46:54.800;0;619028;181656;0
22222222;2018-02-14 13:46:54.770;0;1;1;24;2018-02-14 13:46:54.787;0;619025;181655;0
22222222;2018-02-14 13:46:53.587;0;1;1;22;2018-02-14 13:46:53.597;0;619015;181653;0
22222222;2018-02-14 13:46:50.320;0;1;1;21;2018-02-14 13:46:50.343;0;618993;181647;0
22222222;2018-02-14 13:46:50.317;0;1;1;24;2018-02-14 13:46:50.337;0;618989;181646;0
22222222;2018-02-14 13:46:50.313;1957;1;1;41;2018-02-14 13:46:50.330;1;618987;181645;0
22222222;2018-02-14 13:46:23.297;1957;1;1;40;2018-02-14 13:46:23.313;1;618947;181645;0
22222222;2018-02-14 13:46:23.293;0;1;1;25;2018-02-14 13:46:23.313;0;618946;181644;0
22222222;2018-02-14 13:46:21.990;0;1;1;22;2018-02-14 13:46:22.017;0;618941;181643;0
22222222;2018-02-14 13:46:21.983;0;1;1;24;2018-02-14 13:46:22.003;0;618939;181642;0
22222222;2018-02-14 13:46:20.780;0;1;1;22;2018-02-14 13:46:20.790;0;618932;181641;0
22222222;2018-02-14 13:46:18.097;0;1;1;21;2018-02-14 13:46:18.120;0;618920;181640;0
22222222;2018-02-14 13:46:18.093;0;1;1;24;2018-02-14 13:46:18.117;0;618918;181639;0
22222222;2018-02-14 13:46:18.083;1955;1;1;41;2018-02-14 13:46:18.103;1;618915;181625;0
22222222;2018-02-14 13:45:51.440;1955;1;1;40;2018-02-14 13:45:51.453;1;618861;181625;0
22222222;2018-02-14 13:45:51.437;0;1;1;25;2018-02-14 13:45:51.450;0;618860;181624;0
22222222;2018-02-14 13:45:50.130;0;1;1;22;2018-02-14 13:45:50.143;0;618856;181622;0
22222222;2018-02-14 13:45:50.123;0;1;1;24;2018-02-14 13:45:50.140;0;618854;181621;0
22222222;2018-02-14 13:45:48.907;0;1;1;22;2018-02-14 13:45:48.920;0;618850;181620;0
22222222;2018-02-14 13:45:46.113;0;1;1;21;2018-02-14 13:45:46.140;0;618846;181619;0
22222222;2018-02-14 13:45:46.110;0;1;1;24;2018-02-14 13:45:46.130;0;618844;181618;0
22222222;2018-02-14 13:45:46.103;1953;1;1;41;2018-02-14 13:45:46.123;1;618842;181617;0
22222222;2018-02-14 13:45:19.803;0;1;1;25;2018-02-14 13:45:19.820;0;618833;181616;0
22222222;2018-02-14 13:45:19.803;1953;1;1;40;2018-02-14 13:45:19.823;1;618834;181617;0
22222222;2018-02-14 13:45:18.493;0;1;1;22;2018-02-14 13:45:18.513;0;618831;181615;0
22222222;2018-02-14 13:45:18.487;0;1;1;24;2018-02-14 13:45:18.503;0;618829;181614;0
22222222;2018-02-14 13:45:17.290;0;1;1;22;2018-02-14 13:45:17.303;0;618825;181613;0
22222222;2018-02-14 13:45:14.757;0;1;1;21;2018-02-14 13:45:14.777;0;618821;181612;0
22222222;2018-02-14 13:45:14.753;0;1;1;24;2018-02-14 13:45:14.770;0;618819;181611;0
22222222;2018-02-14 13:45:14.743;1951;1;1;41;2018-02-14 13:45:14.763;1;618817;181610;0
22222222;2018-02-14 13:44:48.227;0;1;1;25;2018-02-14 13:44:48.240;0;618808;181609;0
22222222;2018-02-14 13:44:48.227;1951;1;1;40;2018-02-14 13:44:48.243;1;618809;181610;0
22222222;2018-02-14 13:44:46.913;0;1;1;22;2018-02-14 13:44:46.933;0;618806;181608;0
22222222;2018-02-14 13:44:46.910;0;1;1;24;2018-02-14 13:44:46.923;0;618804;181607;0
22222222;2018-02-14 13:44:45.690;0;1;1;22;2018-02-14 13:44:45.703;0;618802;181606;0
22222222;2018-02-14 13:44:43.457;0;1;1;21;2018-02-14 13:44:43.487;0;618798;181605;0
22222222;2018-02-14 13:44:43.453;0;1;1;24;2018-02-14 13:44:43.473;0;618794;181604;0
22222222;2018-02-14 13:44:43.443;1949;1;1;41;2018-02-14 13:44:43.467;1;618792;181603;0
22222222;2018-02-14 13:44:16.557;0;1;1;25;2018-02-14 13:44:16.570;0;618782;181602;0
22222222;2018-02-14 13:44:16.557;1949;1;1;40;2018-02-14 13:44:16.570;1;618783;181603;0
22222222;2018-02-14 13:44:15.250;0;1;1;22;2018-02-14 13:44:15.263;0;618780;181601;0
22222222;2018-02-14 13:44:15.247;0;1;1;24;2018-02-14 13:44:15.260;0;618778;181600;0
22222222;2018-02-14 13:44:14.040;0;1;1;22;2018-02-14 13:44:14.053;0;618776;181599;0
22222222;2018-02-14 13:44:11.323;0;1;1;21;2018-02-14 13:44:11.353;0;618763;181596;0
22222222;2018-02-14 13:44:11.320;0;1;1;24;2018-02-14 13:44:11.340;0;618759;181595;0
22222222;2018-02-14 13:44:11.317;1947;1;1;41;2018-02-14 13:44:11.333;1;618757;181588;0
22222222;2018-02-14 13:43:42.563;0;1;1;25;2018-02-14 13:43:42.580;0;618710;181587;0
22222222;2018-02-14 13:43:42.563;1947;1;1;40;2018-02-14 13:43:42.580;1;618711;181588;0
22222222;2018-02-14 13:43:41.257;0;1;1;22;2018-02-14 13:43:41.287;0;618705;181586;0
22222222;2018-02-14 13:43:41.253;0;1;1;24;2018-02-14 13:43:41.273;0;618703;181585;0
22222222;2018-02-14 13:43:40.050;0;1;1;22;2018-02-14 13:43:40.063;0;618701;181584;0
22222222;2018-02-14 13:43:37.577;0;1;1;21;2018-02-14 13:43:37.600;0;618694;181583;0
22222222;2018-02-14 13:43:37.573;0;1;1;24;2018-02-14 13:43:37.593;0;618692;181582;0
22222222;2018-02-14 13:43:37.550;1945;1;1;41;2018-02-14 13:43:37.590;1;618690;181581;0
22222222;2018-02-14 13:43:08.717;1945;1;1;40;2018-02-14 13:43:08.737;1;618662;181581;0
22222222;2018-02-14 13:43:08.713;0;1;1;25;2018-02-14 13:43:08.733;0;618661;181580;0
22222222;2018-02-14 13:43:07.387;0;1;1;22;2018-02-14 13:43:07.407;0;618657;181579;0
22222222;2018-02-14 13:43:07.380;0;1;1;24;2018-02-14 13:43:07.397;0;618655;181578;0
22222222;2018-02-14 13:43:06.170;0;1;1;22;2018-02-14 13:43:06.183;0;618653;181577;0
22222222;2018-02-14 13:43:02.963;0;1;1;21;2018-02-14 13:43:03.000;0;618646;181576;0
22222222;2018-02-14 13:43:02.960;0;1;1;24;2018-02-14 13:43:02.987;0;618642;181575;0
22222222;2018-02-14 13:43:02.947;1943;1;1;41;2018-02-14 13:43:02.977;1;618640;181568;0
22222222;2018-02-14 13:42:32.677;0;1;1;25;2018-02-14 13:42:32.693;0;618584;181567;0
22222222;2018-02-14 13:42:32.677;1943;1;1;40;2018-02-14 13:42:32.693;1;618585;181568;0
22222222;2018-02-14 13:42:31.363;0;1;1;22;2018-02-14 13:42:31.383;0;618581;181566;0
22222222;2018-02-14 13:42:31.360;0;1;1;24;2018-02-14 13:42:31.373;0;618579;181565;0
22222222;2018-02-14 13:42:30.160;0;1;1;22;2018-02-14 13:42:30.170;0;618577;181564;0
22222222;2018-02-14 13:42:27.127;0;1;1;21;2018-02-14 13:42:27.163;0;618565;181563;0
22222222;2018-02-14 13:42:27.123;0;1;1;24;2018-02-14 13:42:27.147;0;618561;181562;0
22222222;2018-02-14 13:42:27.103;1941;1;1;41;2018-02-14 13:42:27.137;1;618559;181561;0
22222222;2018-02-14 13:41:57.717;0;1;1;25;2018-02-14 13:41:57.737;0;618496;181560;0
22222222;2018-02-14 13:41:57.717;1941;1;1;40;2018-02-14 13:41:57.740;1;618497;181561;0
22222222;2018-02-14 13:41:56.390;0;1;1;22;2018-02-14 13:41:56.407;0;618492;181559;0
22222222;2018-02-14 13:41:56.387;0;1;1;24;2018-02-14 13:41:56.400;0;618490;181558;0
