Id	MachineId	Timestamp	EntryType	Source	Parameter	ExtendedParameter	UserComment	SignalResult	SignalStream	Parameter2	Parameter3	Parameter4	Parameter5	ErrorCategoryId
30805234	1009	2018-02-23 10:20:42.240	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	0001_SL_KF_D6ALT.MPF			0
30805235	1009	2018-02-23 10:20:43.393	5	401 // VFR // 410976 // DMU 105	120200			0						0
30805506	1009	2018-02-23 10:27:20.403	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Automatic		0
30805508	1009	2018-02-23 10:27:20.840	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Automatic		0
30805513	1009	2018-02-23 10:27:26.033	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	OSTORE1.SYF			0
30805514	1009	2018-02-23 10:27:26.063	25	401 // VFR // 410976 // DMU 105	MDI			0						0
30805517	1009	2018-02-23 10:27:27.687	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30805519	1009	2018-02-23 10:27:30.603	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30805523	1009	2018-02-23 10:27:31.040	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30805525	1009	2018-02-23 10:27:31.540	25	401 // VFR // 410976 // DMU 105	Manual			0						0
30805564	1009	2018-02-23 10:28:22.147	25	401 // VFR // 410976 // DMU 105	Automatic			0						0
30805565	1009	2018-02-23 10:28:22.367	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	0001_SL_KF_D6ALT.MPF			0
30805566	1009	2018-02-23 10:28:29.230	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Automatic		0
30805572	1009	2018-02-23 10:28:41.040	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	L_TOL.SPF			0
30805573	1009	2018-02-23 10:28:42.333	4	401 // VFR // 410976 // DMU 105	120200	120200, Bildaufbereitung unterdrückt, bitte warten.|		0		120200, Bildaufbereitung unterdrückt, bitte warten.|	Idle			0
30805574	1009	2018-02-23 10:28:43.037	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	0001_SL_KF_D6ALT.MPF			0
30805577	1009	2018-02-23 10:28:44.050	5	401 // VFR // 410976 // DMU 105	120200			0						0
30805809	1009	2018-02-23 10:35:22.867	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Automatic		0
30805810	1009	2018-02-23 10:35:23.130	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Automatic		0
30805811	1009	2018-02-23 10:35:28.873	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	OSTORE1.SYF			0
30805812	1009	2018-02-23 10:35:28.920	25	401 // VFR // 410976 // DMU 105	MDI			0						0
30805813	1009	2018-02-23 10:35:30.150	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30805815	1009	2018-02-23 10:35:32.397	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30805816	1009	2018-02-23 10:35:33.053	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30805817	1009	2018-02-23 10:35:33.397	25	401 // VFR // 410976 // DMU 105	Manual			0						0
30805945	1009	2018-02-23 10:38:03.000	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MA_JOG_STEP1.MPF			0
30805946	1009	2018-02-23 10:38:03.033	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Manual		0
30805948	1009	2018-02-23 10:38:07.040	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	OSTORE1.SYF			0
